Bird.ID,Species,Species.Scientific,Nest.Type.Specific,Nest.Type,Sex,Family,Assay,Vocalizations,Songs,Hovers,Flyovers,Dives,Pecks,Attacks,Physical.Contact,Attack.Rate,Chase,Tail-flicks,Wing Waves,Copulation Attempts,Distance (raw/epochs),Mount.Sex
136,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,F,Passeridae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.909090909,M
137,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,F,Passeridae,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0.666666667,F
138,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,F,Passeridae,12,11,0,0,1,0,0,0,0,0,0,0,0,0,13.62068966,M
139,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,F,Passeridae,13,10,0,0,0,0,0,0,0,0,0,0,0,0,4.403846154,M
140,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,F,Passeridae,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0.423728814,M
141,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,F,Passeridae,16,18,0,0,1,0,0,0,0,0,0,0,0,0,2.319148936,M
142,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,F,Passeridae,17,0,0,0,5,0,0,0,0,0,0,0,0,0,9.033333333,F
143,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,F,Passeridae,18,22,0,0,0,0,0,0,0,0,0,0,0,0,5,F
144,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,F,Passeridae,19,30,0,0,2,0,0,0,0,0,0,0,0,0,3.384615385,F
145,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,F,Passeridae,20,18,0,0,2,0,0,0,0,0,0,0,0,0,3.240740741,M
146,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,F,Passeridae,21,16,0,0,0,0,0,0,0,0,0,0,0,0,14.39655172,F
147,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,F,Passeridae,22,8,0,0,0,0,0,0,0,0,0,0,0,0,3.56,M
148,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,F,Passeridae,23,1,0,0,7,0,0,0,0,0,0,0,0,0,4.523809524,M
162,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,M,Passeridae,1,34,0,4,1,0,5,1,6,0.1,0,0,0,0,1.1,M
149,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,M,Passeridae,2,46,0,0,3,0,0,0,,0,0,0,0,0,2.933333333,M
150,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,M,Passeridae,3,42,0,0,0,0,0,0,0,0,0,0,0,0,3,M
163,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,M,Passeridae,4,14,0,5,0,0,6,0,6,0.1,0,0,1,7,0.7,F
151,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,M,Passeridae,5,2,0,0,0,0,0,0,0,0,0,0,0,0,3,M
152,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,M,Passeridae,6,0,0,0,1,0,0,0,0,0,0,2,1,0,0.511363636,F
164,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,M,Passeridae,12,11,0,2,9,0,10,5,15,0.25862069,0,0,11,0,6.827586207,M
165,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,M,Passeridae,13,25,0,0,0,0,21,4,25,0.416666667,0,0,1,0,1.45,M
153,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,M,Passeridae,14,24,0,1,1,0,0,0,0,0,0,0,0,0,7.543859649,M
